artist,pos,neu,neg,compound
Taylor Swift,26.134585289514867,58.68544600938967,15.179968701095461,0.04606212832550859
Lana Del Rey,33.935018050541515,45.48736462093863,20.577617328519857,0.073590072202166
The Weeknd,23.927392739273927,51.81518151815182,24.257425742574256,7.722772277228759e-05
SZA,37.16337522441652,38.77917414721723,24.057450628366247,0.07783141831238752
Kendrick Lamar,23.406478578892372,47.23092998955068,29.36259143155695,-0.04687931034482762
Radiohead,23.902439024390244,52.6829268292683,23.414634146341466,-0.0022292682926829304
Frank Ocean,24.165341812400637,53.10015898251193,22.73449920508744,0.010830524642289356
Men I Trust,25.547445255474454,63.138686131386855,11.313868613138686,0.060741605839416075
Kanye West,24.664602683178536,51.39318885448917,23.9422084623323,-0.014889989680082536
Phoebe Bridgers,17.151162790697676,64.53488372093024,18.313953488372093,-0.02007936046511628
